Comments_in_chinese,Comments_in_english,Groundtruth,URL
硬件好像是3060级别，目前1199完全值这个价了,"The hardware seems to be at the 3060 level, and the current 1199 is completely worth the price.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
3060现在二手价都要一千多，现在s80如果做好驱动是真的香啊,"The second-hand price of 3060 is now more than a thousand, and now the s80 is really good if it is driven well.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
而你，我的朋友，你是真正的英雄,"And you, my friend, you are the real hero",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
问题是你买1660十年后性能还是1660，但这卡随着驱动更新性能是一直在提升的,"The problem is that ten years after you bought the 1660, the performance is still 1660, but the performance of this card has been improving with the driver update.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
899，哪怕只是1060的性能，那也是划算的,"899, even if it is only 1060 performance, it is also cost-effective",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
美丽国商务部认证高品质国产显卡, High-quality domestic graphics cards certified by The Ministry of Commerce of US ,P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
驱动需要时间积累技术和经验,Graphic card driver takes time to accumulate technology and experience,M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
是的，如果能得到资金支持，撑过这个黑暗期低潮期，相信国产显卡能在中国市场占有一席之地，不能让外国厂商独大,"Yes, if we can get financial support to survive this dark period and low tide period, I believe that domestic graphics cards can occupy a place in the Chinese market and cannot let foreign manufacturers dominate.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
我挺好奇，为啥电脑显卡那么难写驱动，手机显卡（比方说马良）花几年就写好了,"I'm very curious, why is it so difficult to write drivers for computer graphics cards, and mobile phone graphics cards (such as Ma Liang) just took a few years to write.",M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
问题是摩尔线程现在被制裁了。要是用不上台积电的工艺，下代产品怎么做,"The problem is that the Moore thread is now sanctioned.If you can't use TSMC's technology, what should you do with the next generation of products?",N,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
只要用户够多，就能倒逼软件去优化,"As long as there are enough users, the software can be forced to optimize",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
这个确实可以，但是放在当今国内市场，很难形成得了这么大的用户基数,"This is indeed possible, but in today's domestic market, it is difficult to form such a large user base.",N,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
估计京东也想不到这么多人支持摩尔线程,It is estimated that Jingdong did not expect so many people to support this thread.,P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
我快急死了，地区无货，看着销量几张几张的加，却一直看不到补货，今天玩一天手机了，现在还没蹲到,"I'm in a hurry. The area is out of stock. I watched the sales increase by a few sheets, but I haven't been able to see the replenishment. I've been playing on my mobile phone for a day today, and I haven't been able to successfully buy it yet.",M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
如果是来跑AI摩尔线程不符合预期就不要买，没必要花这个钱，等一下S90,"If the thread that is here to run AI does not meet expectations, don't buy it. There is no need to spend this money. Wait a minute for S90.",M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
国产显卡这一年的进步确实巨大，但你评论第二段中的那些声音也确实是国产显卡的真实情况,"The progress of domestic graphics cards this year is indeed huge, but the voices in the second paragraph of your comment are indeed the real situation of domestic graphics cards.",M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
实际上它卖的越好，厂商就越有信心扩大研发团队,"In fact, the better it sells, the more confident manufacturers will be to expand their R&D teams.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
我真的佩服国内现在做显卡的，这玩意不是说造出来就行的，还要有人优化，完全就是花时间去积累，而且国内舆论大多对自家的科技产业不太友好，这种情况下还敢搞国产显卡，我是真的服,"I really admire the graphics cards that are now made in China. This thing is not just made, but someone has to optimize it. It just takes time to accumulate, and most of the domestic public opinion is not very friendly to their own technology industry. In this case, I dare to engage in domestic graphics cards. I really believe it.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
坚持下去就是胜利啊 玩家才有便宜大碗的显卡,"If you stick to it, you will win. Players have cheap graphics cards.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
由于适配的原因，目前还只能算是中规中矩,"Due to adaptation reasons, it can only be regarded as well-behaved at present.",M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
这卡也就生产力可能会买，正常玩家买都不推荐,"This card is likely to be bought by those who need it to produce, and it is not recommended for normal players to buy it.",N,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
虽然我一直说这玩意是电子废品，但它要是降价到1199，就是完全不同的另一个故事了,"Although I have always said that this thing is electronic waste, if it is reduced to 1199, it will be a completely different story.",M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
这外观我觉得帅炸了说实话，真要是起来了可以找国内那些七彩虹他们卖芯片了，正好被制裁了他们卖不了显卡了,"I think the appearance is so handsome. To be honest, if you really get up, you can find those OEMs in China to sell these chips, since they just happened to be sanctioned and can't sell graphics cards anymore.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
最大的问题我觉得不是性能而是兼容性问题，这张显卡很可能你买回来好很多游戏你都玩不了,The biggest problem I think is not performance but compatibility. It's very likely that you can't play many games with this graphics card if you buy it back.,N,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
那倒不至于，这卡兼容性问题没那么大,"That's not true, the compatibility problem with this card is not that big",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
感觉这卡玩起来应该和I卡的体验差不多，随着驱动版本更迭，帧数不断变高,"It feels that this card should be similar to the experience of the I card. As the driver version changes, the number of frames keeps getting higher.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
支不支持人工智能，我比较关心这个,Does it support artificial intelligence? I am more concerned about this.,M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
我觉得这卡在AI领域的潜力更大，要是能在服务器主板上插上几张串联那岂不是美哉,I think this card has greater potential in the field of AI. Wouldn't it be beautiful if it could be plugged into a few series on the server motherboard?,P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
这玩意玩单机就是个笑话，连970都不如,"This thing is a joke to play stand-alone, even is not as good as 970 ",N,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
买回来收藏，等生态跟上了再开封,"Buy it back and collect it, and wait for the ecology to keep up before opening it",M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
现在还没有1060的性能，估计还得再成长几个月,"There is no 1060 performance yet, and it is estimated that it will have to grow for a few more months.",M,https://www.bilibili.com/video/BV1gG411C717/
已经1650的性能了到1060只是临门一脚的事情,"The performance of 1650 is already up to 1060, but it's just a matter of stepping in.",P,https://www.bilibili.com/video/BV1gG411C717/
我是满怀期待的,I am full of expectations,P,https://www.bilibili.com/video/BV1gG411C717/
主要就是跑分不够，有可能还不如1050ti,"The main reason is that the running points are not enough, it may not be as good as the 1050ti",N,https://www.bilibili.com/video/BV1gG411C717/
不能直接支持，跟AMD一样，需要源码在工具套件上翻译执行,"Cannot be directly supported, just like AMD, the source code needs to be translated and executed on the tool kit",N,https://www.bilibili.com/video/BV1gG411C717/
至少搞出来东西了，至少有实物可以拉投资，可以招更多的人才去做科研攻关了,"At least something has been made, at least there are physical objects that can be invested, and more talents can be recruited to do scientific research and research.",P,https://www.bilibili.com/video/BV1gG411C717/
由于驱动原因游戏过程中GPU使用率很低，可优化空间极大，感觉和A770的情况类似,"Due to driver reasons, the GPU usage rate is very low during the game, and the space for optimization is very large. It feels similar to the situation of the A770.",M,https://www.bilibili.com/video/BV1gG411C717/
根本抢不到，定金按钮都是灰色的，哪怕买回来当个手办模型摆着都不算贵,"I can't grab it at all, the deposit buttons are all gray, even if I buy it back and put it on as a hand-made model, it's not expensive.",P,https://www.bilibili.com/video/BV1gG411C717/
只能说继续加油吧，但我实在没法掏钱支持，哪怕现在只卖1199,"I can only say that let's keep cheering, but I really can't pay for it, even if it only sells for 1199 now.",P,https://www.bilibili.com/video/BV1gG411C717/
加油！只要确实是我们自主自研的显卡，我愿意支持！愿意等,"Come on!As long as it is indeed our self-developed graphics card, I am willing to support it!Willing to wait",P,https://www.bilibili.com/video/BV1gG411C717/
还是支持国产显卡发展的，希望能做得更好，能尽快适配到Adobe达芬奇等等生产工具,It still supports the development of domestic graphics cards. I hope it can be done better and can be adapted to production tools such as Adobe Da Vinci as soon as possible.,P,https://www.bilibili.com/video/BV1gG411C717/
期待国产的S90,Looking forward to the domestic S90,P,https://www.bilibili.com/video/BV1gG411C717/
问题还是在驱动适配上啊,The problem is still in the driver adaptation.,M,https://www.bilibili.com/video/BV1gG411C717/
显卡的驱动和软件才是最难的,The driver and software of the graphics card are the most difficult,M,https://www.bilibili.com/video/BV1gG411C717/
还是希望国产能加油的，手机我可以买华为麒麟，因为我不打手游，电脑真不行啊,"I still hope that domestic production can be refueled. I can buy Huawei Kirin for mobile phones, because I don't play mobile games, but for computers it really don't work.",M,https://www.bilibili.com/video/BV1gG411C717/
希望摩尔线程能持续进步，加油,"I hope this thread can continue to progress, come on",P,https://www.bilibili.com/video/BV1gG411C717/
本来想买个支持一下，结果都缺货,"I originally wanted to buy a support, but it turned out to be out of stock.",M,https://www.bilibili.com/video/BV1gG411C717/
可以搞ai啊，可以考虑搞一张了,"It can engage in ai, I am considering grab one",P,https://www.bilibili.com/video/BV1gG411C717/
希望以后显卡能像现在内存那样便宜,I hope the graphics card will be as cheap as the memory in the future,P,https://www.bilibili.com/video/BV1gG411C717/
这个公司成立才两年，能达到这样的效果已经很不错了,"This company has only been established for two years, and it is already very good to achieve such an effect.",P,https://www.bilibili.com/video/BV1gG411C717/
如果3d渲染的可以上，相信会更多人支持,"If 3d rendering can be used, I believe more people will support it.",P,https://www.bilibili.com/video/BV1gG411C717/
emmm想买一张囤着发现没货了,emmm wanted to buy one and found that it was out of stock.,M,https://www.bilibili.com/video/BV1gG411C717/
就现在的性能表现来说，买他也不算亏,"In terms of current performance, it's not a loss to buy it",P,https://www.bilibili.com/video/BV1gG411C717/
现在的价格作为手办玩玩还是可以的,The current price is still acceptable as a hand-made model,P,https://www.bilibili.com/video/BV1gG411C717/
有财力的可以考虑收藏，装第一台电脑的还是老实用主流显卡吧,"If you have the financial resources, you can consider collecting. Those who are installing their first computer should honestly use mainstream graphics cards.",M,https://www.bilibili.com/video/BV1gG411C717/
dx12完全玩不了，也只有1060的性能，也只能拿来收藏了，实用性太低,"dx12 can't be played at all, and it only has 1060 performance, so it can only be used for collection, and its practicality is too low.",N,https://www.bilibili.com/video/BV1gG411C717/
问了一下客服，说是还不支持Blender,I asked the customer service and said that Blender is not supported yet.,N,https://www.bilibili.com/video/BV1gG411C717/
摩尔线程什么时候出笔记本，出了我捧捧场子,When did the Moore thread come out of the laptop? I will buy one when it comes out,P,https://www.bilibili.com/video/BV1gG411C717/
看到16g显存我就想到ai了,I thought of ai when I saw 16g video memory,P,https://www.bilibili.com/video/BV1gG411C717/
只能说加油,Can only say come on,P,https://www.bilibili.com/video/BV1gG411C717/
我想问问这个可以用作ai推理吗,I want to ask if this can be used as ai reasoning,P,https://www.bilibili.com/video/BV1gG411C717/
现在有了一点点升级我760显卡的兴趣了,Now I have a little bit of interest in upgrading my 760 graphics card,P,https://www.bilibili.com/video/BV1gG411C717/
目前别买，这显卡很有潜力但是不代表他现在就可以了，还是建议买主流显卡,"Don't buy it at the moment. This graphics card has great potential, but it doesn't mean he can do it now. It's still recommended to buy a mainstream graphics card.",N,https://www.bilibili.com/video/BV1gG411C717/
暂时没必要，搞个6700xt够用了,"It's not necessary for the time being, it's enough to get a 6700xt",N,https://www.bilibili.com/video/BV1gG411C717/
没必要，等以后驱动完善了再支持国产吧,"No need, wait for the driver to be improved in the future before supporting domestic production",N,https://www.bilibili.com/video/BV1gG411C717/
现在除非基本不玩游戏，不然的话总会出现游戏不兼容的情况,"Now unless you basically don't play games, there will always be incompatible games.",N,https://www.bilibili.com/video/BV1gG411C717/
抱着支持的态度可以入手，你要是靠这个打游戏就算了,"You can start with a supportive attitude, if you rely on this to play games, forget it.",M,https://www.bilibili.com/video/BV1gG411C717/
别买，你以为不玩3a单机，但当你想玩的时候就后悔了,"Don't buy it, you think you don't play 3a stand-alone, but you will regret it when you want to play.",N,https://www.bilibili.com/video/BV1gG411C717/
看他们测评，只玩网游够用了。而且只要官方继续更新驱动，理论上来说还有很大提升空间,"Depending on their evaluation, only playing online games is enough.And as long as the official continues to update the driver, in theory, there is still a lot of room for improvement.",P,https://www.bilibili.com/video/BV1gG411C717/
这个主要是驱动方面的问题，硬件没有问题,"This is mainly a driver problem, there is no problem with the hardware",P,https://www.bilibili.com/video/BV1gG411C717/
够用了 腾讯全家桶没什么问题,It's enough. There's nothing wrong with Tencent's whole family bucket.,P,https://www.bilibili.com/video/BV1gG411C717/
1000块钱买个手办也不错 等后续驱动支持了 打上40系也不是不可能,"It's not bad to buy a hand-made one for 1,000 yuan, and it's not impossible to match the 40 series when the follow-up driver supports it.",P,https://www.bilibili.com/video/BV1gG411C717/
现在还是不太适合……不光是性能还没发挥，主要是适配，可能部分游戏都玩不起,"It's still not suitable now... Not only is the performance not yet played, it's mainly due to adaptation, and some games may not be able to be played.",N,https://www.bilibili.com/video/BV1gG411C717/
目前情况就是，你不会折腾显卡，就不要买，这卡还没有完善,"The current situation is that if you don't know how to toss the graphics card, don't buy it. This card is not perfect yet.",N,https://www.bilibili.com/video/BV1gG411C717/
反正就几百块钱 就当支持国产了,"Anyway, just a few hundred yuan is enough, I will just take it as a support for domestic production.",P,https://www.bilibili.com/video/BV1gG411C717/
有人说这卡现在只能比得上1650，但是你拿走手里，随着驱动不断更新，他就是随时间更新的显卡,"Some people say that this card can only be compared to 1650 now, but if you take it away, as the driver is constantly updated, he is the graphics card that is updated over time.",M,https://www.bilibili.com/video/BV1gG411C717/
一般，剪映效率还不错,"Generally, the cutting efficiency is not bad",P,https://www.bilibili.com/video/BV1gG411C717/
我看测评是说这张卡优化问题，2K跟4K才能发挥他的性能，本来打算买的，但是又不想换显示器,"I think the evaluation is about the optimization problem of this card. Only 2K and 4K can give full play to his performance. I originally planned to buy it, but I didn't want to change the monitor.",N,https://www.bilibili.com/video/BV1tu4y1n7of/
之前两千多真的冲不动，现在就900，随便冲了,"I really couldn't buy it with more than two thousand before, but now it's 900, just buy it.",P,https://www.bilibili.com/video/BV1tu4y1n7of/
恕我直言，这价格性能我完全可以买回来给我妈用，反正她又不玩游戏，办办公还是可以的。过个五六年，等摩线发展起来了，再买来自己用,"With all due respect, I can buy this price performance back for my mother. Anyway, she doesn't play games, so it's okay to run an office.In five or six years, when the motorcycle line develops, I will buy it for my own use.",P,https://www.bilibili.com/video/BV1tu4y1n7of/
别人都发展多少年了，自己的能做出来已经很牛了,"Others have been developing for many years, and they are already very good at making their own.",P,https://www.bilibili.com/video/BV1tu4y1n7of/
899的显卡要什么自行车,"I mean, man, it just take 899 to buy a this graphics card, why not?",P,https://www.bilibili.com/video/BV1tu4y1n7of/
还得看驱动，跟intel一样都是驱动问题，红蓝两家的生态壁垒不是那么容易打破的,"It also depends on the driver. Like intel, it is a driver problem. The ecological barriers between the red and blue are not so easy to break.",P,https://www.bilibili.com/video/BV1tu4y1n7of/
感觉不是不行啊，占用率太低了应该是驱动和优化的问题,It doesn't feel bad. The occupancy rate is too low. It should be a matter of driving and optimization.,P,https://www.bilibili.com/video/BV1tu4y1n7of/
我什么都不懂，只要国产能把显卡价格打下来我就高兴,"I don't understand anything, as long as the domestic production can bring down the price of the graphics card, I will be happy",P,https://www.bilibili.com/video/BV1tu4y1n7of/
没有游戏厂商优化，全靠显卡厂家自己优化,"There is no optimization by game manufacturers, it depends on the graphics card manufacturers to optimize by themselves",M,https://www.bilibili.com/video/BV1tu4y1n7of/
硬件规模可不差，就等驱动完善了,"The hardware scale is not bad, just wait for the driver to be perfect",P,https://www.bilibili.com/video/BV1tu4y1n7of/
养成系显卡要买回来养大才好用。安静等它完善驱动吧,The graphics card of the cultivation system must be bought back and raised to be easy to use.Wait quietly for it to perfect the drive,P,https://www.bilibili.com/video/BV1tu4y1n7of/
900块钱开一个有保底的盲盒呗，目前看它有进步空间，就是在赌它驱动能进步多少,"Open a guaranteed blind box for 900 yuan. At present, it has room for improvement, so I'm betting on how much it can improve.",P,https://www.bilibili.com/video/BV1tu4y1n7of/
直接买了 899买个收藏品先放着等驱动更新,"I bought 899 directly, bought a collection, put it first, and wait for the driver to update.",P,https://www.bilibili.com/video/BV1tu4y1n7of/
硬件水平好像是1060以上，就是驱动不行,"The hardware level seems to be above 1060, but the driver is not working.",M,https://www.bilibili.com/video/BV1tu4y1n7of/
这张卡感觉根本就没法用，买来没有任何实用性，买来当摆件,This card feels unusable at all. It doesn't have any practicality to buy it. It's bought as a decoration.,N,https://www.bilibili.com/video/BV1tu4y1n7of/
理论性能可以，但是显卡驱动没适配这些游戏,"The theoretical performance is ok, but the graphics driver is not adapted to these games.",N,https://www.bilibili.com/video/BV1tu4y1n7of/
1000块能赶上1650就很有性价比了,"1000 yuan can catch up with 1650, which is very cost-effective.",M,https://www.bilibili.com/video/BV1tu4y1n7of/
这东西玩ai不如用cpu跑可能还快点,"It's better to play ai with cpu instead with this card, which might be faster.",N,https://www.bilibili.com/video/BV1tu4y1n7of/
这张卡当obs的推流卡是不是非常不错的选择,Is this card a very good choice as an obs streaming card?,M,https://www.bilibili.com/video/BV1tu4y1n7of/
不积跬步无以至千里 加油吧！,"You can't go through thousands of miles without accumulating, come on!",P,https://www.bilibili.com/video/BV1tu4y1n7of/
比没有强啊，希望以后还能继续发展,"It's better than nothing, I hope it can continue to develop in the future",P,https://www.bilibili.com/video/BV1tu4y1n7of/
硬件规格不错，现在就差在软件方面了，显卡占用太低了，甚至还有个位数,"The hardware specifications are good, but now it's worse in terms of software. The graphics card consumption is too low, and there are even single digits.",M,https://www.bilibili.com/video/BV1tu4y1n7of/
到消费级显卡就差驱动了,All it need for becoming a consumer-grade graphics cards is its driver.,M,https://www.bilibili.com/video/BV1tu4y1n7of/
这玩意怎么说呢，综合性能可以战平4060还有富裕的，你就当1199买了个全新的1650,,P,https://www.bilibili.com/video/BV1RQ4y1H7yq/
1000块16GB显存你还有啥不入手的理由呢,,P,https://www.bilibili.com/video/BV1RQ4y1H8yq/
这东西就是买来哪天升级配置换下去了我也挺愿意给个防尘罩当摆件的,,P,https://www.bilibili.com/video/BV1RQ4y1H9yq/
你们到底是怎么抢的，我这里一直显示无货,,N,https://www.bilibili.com/video/BV1RQ4y1H10yq/
收藏也意义非凡，假如摩尔以后起飞了，这就是一代元祖卡，价值暴涨,,P,https://www.bilibili.com/video/BV1RQ4y1H11yq/
真正意义上的第一款国产显卡，有条件值得收藏一块,,P,https://www.bilibili.com/video/BV1RQ4y1H12yq/
毕竟国内没有这方面的积累，相信再过一年左右就能追上3060,,P,https://www.bilibili.com/video/BV1RQ4y1H13yq/
我感觉就是纸面数据已经很好看了，现在每次驱动更新就是完完全全的性能释放,,P,https://www.bilibili.com/video/BV1RQ4y1H14yq/
这玩意就是养成系显卡，更新个启动性能暴涨这么多，出来时10系性能，换驱动后20系性能,,P,https://www.bilibili.com/video/BV1RQ4y1H15yq/
加油，希望下一次换显卡是国产的,,P,https://www.bilibili.com/video/BV1RQ4y1H16yq/
899的s70摩尔线程就是我的爹,,P,https://www.bilibili.com/video/BV1RQ4y1H17yq/
抢不到，完全抢不到,,N,https://www.bilibili.com/video/BV1RQ4y1H18yq/
我是真心的想支持，不过我只是个臭打游戏的，很多游戏看介绍是真的很卡,,N,https://www.bilibili.com/video/BV1RQ4y1H19yq/
口头支持就完事了，哪天能做到内存长鑫，固态致态的程度再考虑入手,,M,https://www.bilibili.com/video/BV1RQ4y1H20yq/
游戏也就腾讯全家桶了 别的体验暂时不行,,N,https://www.bilibili.com/video/BV1RQ4y1H21yq/
s80硬件性能达到了3060-3060ti之间，驱动任重道远,,M,https://www.bilibili.com/video/BV1RQ4y1H22yq/
虽然驱动进步挺大的 但是我还是只能精神支持了 ,,M,https://www.bilibili.com/video/BV1RQ4y1H23yq/
支持国产！希望大家不要忘了固态大降价！,,P,https://www.bilibili.com/video/BV1RQ4y1H24yq/
现在摩尔硬件规格没啥问题 关键就是驱动,,M,https://www.bilibili.com/video/BV1RQ4y1H25yq/
我也买了一张支持，但是我没有用 就当收藏了,,P,https://www.bilibili.com/video/BV1RQ4y1H26yq/
作为一名纯粹的游戏玩家我由衷的希望国产显卡能慢慢站起来,,P,https://www.bilibili.com/video/BV1RQ4y1H27yq/
这种心态才是对的，有的人就是强行要大家承认这张卡性能好价格便宜可以立刻投入生产和游戏，不承认就是一堆大帽子扣上来,,P,https://www.bilibili.com/video/BV1RQ4y1H28yq/
之前刚出来的时候好像才750ti水平，现在都到1650，进步真的很明显,,P,https://www.bilibili.com/video/BV1RQ4y1H29yq/
乐观点估计一两年后就可以到3060水品了,,P,https://www.bilibili.com/video/BV1RQ4y1H30yq/
竟然没有什么人喷，牛的，我也想入一块,,P,https://www.bilibili.com/video/BV1RQ4y1H31yq/
随着驱动的更新还能支持越来越多的游戏，这是非常划算的,,P,https://www.bilibili.com/video/BV1RQ4y1H32yq/
这东西差距只在驱动，性价比是会随着时间提升的,,M,https://www.bilibili.com/video/BV1RQ4y1H33yq/
国产显卡是真的任重而道远，现阶段无论是n卡还是A卡都有一大票的驱动支持,,M,https://www.bilibili.com/video/BV1RQ4y1H34yq/
这个价格我感觉可以啊， 特别是办公电脑,,P,https://www.bilibili.com/video/BV1RQ4y1H35yq/
硬件上我觉得国产没多大问题，但是驱动适配真的是一座大山,,M,https://www.bilibili.com/video/BV1RQ4y1H36yq/
硬件和软件要步调一致才能真正强大起来,,M,https://www.bilibili.com/video/BV1Pc411B726/
目前不支持DX12是最大硬伤,,N,https://www.bilibili.com/video/BV1Pc411B727/
还是得要驱动优化上去啊，等后续再更新几十版驱动再看看,,M,https://www.bilibili.com/video/BV1Pc411B728/
显卡待机功耗100W出头 ，这玩意就是一个半成品,,N,https://www.bilibili.com/video/BV1Pc411B729/
这卡有个问题就是啥事都不干光待机就能跑110多W，刚开始我还以为他自己的软件显示有问题,,N,https://www.bilibili.com/video/BV1Pc411B730/
初代显卡要做的东西实在是太多了，先弄出一个可以实用的还是非常不错的,,P,https://www.bilibili.com/video/BV1Pc411B731/
这张卡可以说是单向奔赴，游戏厂商不去适配它。软件兼容硬件会比硬件兼容软件容易的多,,N,https://www.bilibili.com/video/BV1Pc411B732/
这卡不能当主力卡，钱多买个玩玩折腾下其实也没啥不好的，我想支持一下无奈没有钱钱,,M,https://www.bilibili.com/video/BV1Pc411B733/
一句话，我买来是用的。我等它更新?我图啥?,,N,https://www.bilibili.com/video/BV1Pc411B734/
驱动本身只是功能接口数据，很容易做。但是如果没有游戏针对的的性能优化设置，通用设置铁定拉的,,N,https://www.bilibili.com/video/BV1Pc411B735/
讲道理软件和驱动完善过程我还是挺相信国内的技术的，硬件可能会受限，但是软件驱动这些真的很信任,,P,https://www.bilibili.com/video/BV1Pc411B736/
驱动是短时间没办法，但是你看鸿蒙，不过是迟早的事情,,P,https://www.bilibili.com/video/BV1Pc411B737/
从0到现在差不多750ti，在一想到以后和3060持平，真是赤鸡,,P,https://www.bilibili.com/video/BV1Pc411B738/
s70京东有货，不过只有一张。。。,,M,https://www.bilibili.com/video/BV1Pc411B739/
500W电源的我只能是望而却步,,N,https://www.bilibili.com/video/BV1Pc411B740/
其实只要商用有替代，也就不会有禁售了。打游戏的没有那么重要,,P,https://www.bilibili.com/video/BV1Pc411B741/
主要还是产能不行，不然买个70根买个手办的价钱也没区别啊，甚至比等高正版手办还便宜,,M,https://www.bilibili.com/video/BV1Pc411B742/
驱动固然重要，但最重要的是跟游戏厂商PY，不PY别人不针对你做优化，那么哪怕强如蓝红绿三家，依旧要拉了跨,,M,https://www.bilibili.com/video/BV1Pc411B743/
可以买了。下次买电脑必定是国产显卡。,,P,https://www.bilibili.com/video/BV1Pc411B744/
有了就好，慢慢进步,,P,https://www.bilibili.com/video/BV1Pc411B745/
